n,lambda,phi,eps,gamma,theta_rough,offset,mpn,traj_mpn,detected_mpn,1,11,101,111,1101,1011,1001,1111,11001,10011,10001,11011,11101,10111,11111,110001,100011,100001,110011,110101,101011,110111,111011,111001,100111,111101,101111,111111
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01915019150191502,0.017000170001700184,510,169,5,92,11,11,5,54,5,1,0,2,5,5,6,4,1,0,0,0,0,2,2,3,1,2,3,17
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01929019290192902,0.017350173501735188,522,188,6,91,12,12,0,53,1,3,1,2,3,4,9,1,0,2,1,0,0,4,5,1,1,5,0,14
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01929019290192902,0.01751017510175119,556,149,6,107,17,14,1,45,3,2,0,4,3,4,9,0,3,0,0,0,0,3,6,1,0,4,1,17
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01848018480184802,0.01666016660166618,531,162,8,83,21,10,1,49,2,0,0,0,2,0,14,0,3,1,0,0,0,3,4,3,0,7,0,13
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01983019830198302,0.017790177901779194,561,167,10,103,16,8,0,60,1,1,1,2,2,4,7,3,0,3,0,0,0,4,3,3,1,3,3,12
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01859018590185902,0.01667016670166718,537,158,9,103,18,11,0,57,2,0,1,1,1,1,4,3,1,5,0,0,0,2,0,0,1,0,0,16
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.018910189101891017,0.016560165601656178,533,154,2,88,23,15,0,58,0,1,0,1,2,2,6,2,0,0,0,0,0,5,1,4,1,2,2,12
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01995019950199502,0.017920179201792195,571,170,5,97,19,11,1,63,1,3,3,0,3,3,7,2,1,2,0,0,0,1,3,1,1,2,0,18
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01857018570185702,0.01672016720167218,510,173,13,93,16,8,0,45,3,4,0,2,1,2,9,2,3,2,0,0,0,9,1,1,1,5,1,11
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.019490194901949018,0.01760017600176019,564,146,14,106,21,14,3,60,2,3,2,0,1,3,3,2,1,2,0,0,0,3,5,1,0,2,0,15
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.018940189401894018,0.017010170101701184,528,161,7,110,17,8,0,57,4,2,1,1,2,3,5,2,0,1,0,0,0,5,4,3,0,1,1,10
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.019490194901949018,0.017830178301783194,560,162,8,119,16,15,1,58,1,3,2,0,2,3,7,2,0,1,0,0,0,3,6,0,1,1,0,11
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.02046020460204602,0.018500185001850203,528,159,10,126,14,18,0,55,4,1,0,0,2,7,5,1,0,2,0,1,0,6,2,3,0,2,3,21
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01823018230182302,0.016310163101631175,553,163,10,88,15,12,3,41,0,5,2,1,3,3,4,2,2,0,0,0,0,5,0,5,0,8,1,8
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.019520195201952018,0.017960179601796196,509,179,10,117,20,10,3,58,6,0,1,1,1,2,9,0,0,0,0,0,0,1,1,3,0,3,2,17
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.017740177401774016,0.01604016040160417,492,171,6,115,10,7,1,49,1,1,1,0,2,3,2,0,4,0,0,0,0,2,4,2,0,2,0,11
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.02058020580205802,0.018560185601856204,548,165,10,102,15,14,1,53,2,0,0,1,1,2,8,0,3,0,0,0,0,3,4,1,2,7,0,33
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01915019150191502,0.017310173101731188,561,178,13,109,11,6,3,46,4,1,1,0,1,3,14,3,0,0,0,0,0,2,0,3,1,1,1,12
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.017280172801728017,0.015650156501565166,537,152,4,93,13,7,6,49,4,2,3,1,1,3,3,0,1,2,0,0,0,3,2,2,0,1,1,10
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01993019930199302,0.018070180701807197,511,164,7,108,26,12,0,57,2,2,0,2,5,3,8,0,1,1,0,0,0,1,3,1,0,4,3,22
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.019500195001950018,0.01749017490174919,544,139,9,118,20,22,0,62,4,1,0,1,1,2,7,0,2,2,0,0,0,3,2,3,0,4,0,8
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.018340183401834017,0.016430164301643176,515,171,15,94,10,14,0,48,3,0,1,0,2,2,5,0,1,2,0,0,0,3,3,3,3,2,3,12
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01993019930199302,0.017190171901719186,550,169,8,109,14,11,0,52,4,2,0,2,1,5,4,4,2,1,0,0,0,6,3,1,0,5,1,6
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01964019640196402,0.017760177601776193,528,158,3,105,16,8,2,52,3,2,0,1,2,5,7,1,1,3,0,0,0,7,6,2,0,6,2,20
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.018440184401844018,0.01586015860158617,527,141,12,81,10,13,0,47,2,2,0,0,1,2,16,2,1,1,0,2,0,2,3,1,1,4,1,12
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.017800178001780017,0.016270162701627174,530,159,9,98,12,14,3,47,2,1,0,0,2,4,6,2,0,1,0,0,0,4,4,2,0,2,0,11
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.019520195201952018,0.017640176401764192,520,177,8,105,22,8,2,49,5,3,2,2,1,1,6,1,1,1,0,1,0,1,4,6,2,5,1,16
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01823018230182302,0.016560165601656178,525,161,5,109,16,8,1,46,1,2,1,1,2,2,4,2,3,1,0,0,0,3,2,1,3,1,2,15
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01963019630196302,0.016910169101691182,559,170,9,96,14,11,3,48,3,2,2,0,2,2,5,1,0,2,0,0,1,4,3,2,0,3,0,14
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.02019020190201902,0.017840178401784194,543,177,6,126,15,12,5,53,4,2,1,0,1,2,4,1,1,0,0,0,0,5,1,4,0,5,1,10
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01906019060190602,0.016920169201692183,514,170,3,94,18,10,4,55,4,5,1,2,2,4,4,2,2,0,0,0,0,6,3,3,2,4,0,10
